modelo,silhouette_256d,trustworthiness_tsne,trustworthiness_umap
Baseline (SelvaSonicCNN),0.008432506583631039,0.9963887856146563,0.9925256130743668
Attention v1,0.15804773569107056,0.9966347854174383,0.9915939846427828
Attention v2 (balanced),0.16864807903766632,0.9954734177932656,0.9913864063389434
