clase,support,precision,recall,f1,ap,auc_roc
Chordeiles_pusillus,36,0.85,0.9444444444444444,0.8947368421052632,0.9913580246913583,0.9998852947923835
Crypturellus_cinereus,516,0.9146341463414634,0.872093023255814,0.8928571428571429,0.9459765422317931,0.984317183995092
no_ave,480,0.7862068965517242,0.95,0.8603773584905661,0.9717444576980385,0.9883225020308692
Ramphastos_tucanus,340,0.8863636363636364,0.6882352941176471,0.7748344370860927,0.7642657445669049,0.8618845232174345
Lipaugus_vociferans,318,0.8205128205128205,0.6037735849056604,0.6956521739130435,0.7474364958822696,0.9233826123638594
Glaucidium_brasilianum,190,0.5220588235294118,0.7473684210526316,0.6147186147186147,0.7772839460025777,0.9689794981640146
Trogon_viridis,536,0.5408805031446541,0.6417910447761194,0.5870307167235495,0.6139686656394338,0.8556128335876726
Frederickena_fulva,52,0.391304347826087,0.6923076923076923,0.5,0.7350344625987091,0.9667553899387809
Celeus_grammicus,244,0.43956043956043955,0.32786885245901637,0.3755868544600939,0.31782966797698703,0.8233421234915967
Crypturellus_undulatus,202,0.45614035087719296,0.25742574257425743,0.3291139240506329,0.38201819572310697,0.8606128496061284
Rupornis_magnirostris,28,0.05555555555555555,0.07142857142857142,0.0625,0.04125883544499126,0.8498382194332778
