,accuracy,macro_f1,macro_precision,macro_recall
Baseline,0.6322229775662814,0.5088314017419654,0.5253637464231646,0.5357485678499233
Attention v1,0.6872875594833446,0.5988552785822726,0.6057470472966351,0.6178851519383504
Attention v2 (balanced),0.7036029911624745,0.6253759856994506,0.6378957170666021,0.6620330922967785
